caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
4249,,,1 day,,-7 Refused,v pres,don't know,don't know,economy needs to be improved with more jobs,-7 Refused,-1 Inapplicable,,Blacks should be considered the same as everyone else.,,,,,,,,,,
4250,,,-1 Inapplicable,,speaker of the house,vice president,dont know,supreme court,health care reform,bad economy,no,no,,,,,,,,,,,
4251,,,,,,,,,,,,,,,,,,,,,,,
4252,,,since the last election,,republican speaker of the house,vice presiident,don't know,don't know,"economy, debt",selfishness too many people are not concerned for their fellow man.  we place too uch emphasis on material wealth,foriegn affairs,foriegn affairs,,,,,,,,,,,
4253,,,-1 Inapplicable,,-7 Refused,-7 Refused,-7 Refused,-7 Refused,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
4254,,,From the beginning. I do not agree with the progressive agenda. I believe in self reliance.The social agenda of the progressives has worsened the dependency problem which of course IS their agenda.,,Speaker of the House,Vice President,Prime Minister,Supreme Court Justice,We are on a socialist track,Our politicians do not have our best interests at heart.,We have had the core values of Americanism taken from us. Our mass media is just a propaganda arm of the administration.,Getting the mindset of the people back to the rugged individualism of self reliance that built the U.S.,,,,,,,,,,,
4255,,,-1 Inapplicable,,speaker of the House,vice-President,UK Prime Minister,Chief Justice of Supreme Court,We need to continue creating jobs to improve our economy. Finish our military presence in the Middle East.,Reduce hosing foreclosure,Approve once and for all the universal health care,Improve our economy by developing more job opportunities for blue collar,,,,,,,,,,,
4256,,,,,,,,,,,,,,,,,,,,,,,
4257,,,Almost from the commencement,,?? need to think?? not very sure at the moment??  heard the name...but..hitherto do not ecall now!!,Vice President,do not remember that name now,I think he is on the Supreme court with Clarence Thomas or House of represebtative as do not remember those names??,THE ECONOMY IS VERY SLOW AND MORE JOBS ARE NEEDED FOR SO MANY AND PEOPLE THAT WAS IN THE SUPERSTORM SANDY SATAN NEEDS MORE HELP VERY SOON,MANY PEOPLE  HAVE SERIOUS HEALTH ISSUES AND HAVE NO GOOD INSURANCE COVERAGE,"TERRORISM HAS TO BE WATCH MORE CAREFULLY AND THE WAR NEEDS TO BE STOPPED AND SEND ALL OUR TROOPS HOME SAFELY AND GIVE THEM GOOD JOBS, HOUSING AND MONEY TO TAKE CARE OF THEIR  FAMILIES, PERSONAL NEEDS AND GET GOOD HEALTH CARE FOE THEM AND THEIR FAMILIES....",THE ECONOMY,,,,,,,,,,,
4258,,,-1 Inapplicable,,House speaker for republican party,Vice President- democratic party,Washington press?,Supreme Court Justice,Unemployment Global warming,Having our people in the military being killed after we have done our job and still not returning home,Feed our own people who are starving as our priority to help them feel that they are human and we take care of our animals better,Global warming,,,,,,,,,,,
4259,,,3 YEARS AGO,,LEADER OF THE HOUSE  I WOULD NOT VOTE FOR HIM EITHER!,VP,NO IDEA,NO IDEA,THE NEED FOR FOOD  WE WILL STRUGGLE TO FEED OUR COUNTRY IN THREE YEARS IF THIS PROBLEM IS NOT SOON RECOGINIZED.,"UNEMPLOYMENT  JOBS ARE NOT INCREASING, PEOPLE ARE NO LONGER ON THE UNEMPLOYMENT ROLLS AFTER THEY DRAW ALL THEIR EMPLOYMENT FUNDS.","THE GOVERNMENT ISSUEING FALSE STATEMENTS ABOUT DIFFERENT FIELDS TO MAKE IT APPEAR THAT WE ARE RECOVERING FROM THE RECESSION. EXAMPLE: INCREASED HOUSING SALES, YES THE SALES ARE INCREASING BUT THEY ARE BEING BOUGHT BY FOREIGN INTRESTS FOR PENNIES ON THE DOLLAR.",FOOD SHORTAGE,ALL PEOPLE,,,,,,,,,,
4260,,,from the begining.,,speaker of the house,vice president,don't no,don't no,debt money replican party,i don't think our gov is on the same page as it   should be.,the economy,ecomony,,,,,,,,,,,
4261,,,-1 Inapplicable,,speaker of the house of reps,vp,don't know,supreme court,economy we need to contain spending  and  totally reform the tax structure.  It is very unfair to many people.,terrirism.  the administration does not seem to want to recognize this is a big problem.  example bengazi,class warfare promoted by president.  We should all aspire to be rich through hard work.   I think we should encourage inititave and hard work not handouts.,The economy,,,,,,,,,,,
4262,,,Six months,,Rep. Maj leader,Vice pres,Prime min UK,Sup ct Chief Justice,Quality govt sponsored Health care,The deficit,-7 Refused,Quality affordable health care,,,,,,,Conservative candidates,,,,
4263,,,-1 Inapplicable,,house speaker,vice president,not sure,dont know,Budget deficet Economy Terrorism,immagration,no,Budget defict,,,,,,,,,,,
4264,,,-1 Inapplicable,,dont know,vice president,dont know,dont know,healthcare!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,financial deficiet,the president,the president,,,,,,,,,,,
4265,,,"Four or five months, but I never considered voting for Obama.",,Speaker of the House,Vice-President of the United States,Prime Minister of the United Kingdom,Chief Justice of the Supreme Court,"The decay of our national character and culture. Secondly the economy, but I consider two problems to be directly connected.",Decreased birth rate.,Illegal immigration,The decay of our national character and culture.,I would need a more specific defination of 'fair treatment' to answer. The word 'fair' is thrown around a lot in ways I don't agree with but I support fairness in the legal sense.,,,,,,,,,,
4266,,,About 3 months before the election.,,House Majority Leader,Vice President,House Minority Leader,Chief Justice,The main problem with the country now is the huge deficit problem.,Our failing infastructure that has more patchwork than permanant solutions.,"Healthcare, its a mess because with the passage of Obamacare, everyone is fighting against it.",Deficit,,,,,,,,,,,
4267,,,As  soon  as I  saw  that Congress intended to block the  president on  every issue and  when he announced hed would be  running  again.  I made my  decision without  encouragement from anyone.,,Majority Leader Congress,Vice President  USA,"There is  a  Cameron, Prime Minister of England.      I do not know a Cameron for USA",Supreme Court Justice,Economics Jobs Race Relationships,Health Care Costs.  We  need to  keep Obamacare  and  perfect it to the benefit of the people.,"Education, Immigration Laws and problems.","Education needs to be continually upgraded, never neglected everywhere in the USA... Race  relations...",,,,,,,,,,,
4268,,,months before,,can't recall exact job but he's a banner guy for the republicans,vice president,heard the name but can't name job,don't know,economy- not enough jobs/ people losing their homes,the so called obamacare. i think that  eventually they'll have all the ilegal  aliens on some form of hand out,global warming if not corrected we can  expect more and worse storms than sandy,economy. maybe not in my lifetime but if we continue on this path china will wind up owning the country,,,,,,,,,,,
4269,,,-1 Inapplicable,,"do not know, maybe still speaker",vice,do not know,don't know,killing of our young people,good paying jobs,everything in my world and both parties are not doing anything to help me or my less MIDDLE CLASS friends.,peoples,,,,,,,,,,,
4270,,,-1 Inapplicable,,speacherhouse,vicepresendent,primeminst,supremcoutjusty,eco  speeding,oil  prouduction,boardinforce,ecom,,,,,,,,,,,
4271,,,-1 Inapplicable,,Speaker of the house,VP,IDK,IDK,economy and patriotism,lack of jobs,lack of faith,economy,I don't know,,,,,,,,,,
4272,,,A day or so.,,Don't know.,Vice President.,Don't know.,Don't know.,Economy and unemployment levels.,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4273,,,I would not vote for republicans and tea party,,head of the house of representatives,vicepresident,-7 Refused,-7 Refused,"jobs, health care, education",debt,-7 Refused,jobs,,,,,,,,,,,
4274,,,3 years ago,,House speaker,Vice President,don't know,Don't know,"economy, health care, gas",military,none,economy,,,,,,,,,,,
4275,,,when I listened to what the republicans were offering. A long time ago.,,speaker of the house,Vice-Presedent,don't know,majority leader,"jobs, company's shipping jobs overseas, and the government helping.",lack of ability or will of congress to work togather for the good of the country.,"wasteful spending sub-studies for big oil, large farms, military contractors that over charge the government.",jobs,ALL PEOPLE get fair treatment,,,,,,,,,,
4276,,,6 months before voting,,I don't know,Vice president,UK prime minister,U.S. Chief Justice,"Healthcare, Economy",no,no,The economy,,,,,,,,,,,
4277,,,Several months,,Speaker of the House,Vice President,Don't know,don't know,Federal Government deficit and spending with no plan to correct the problem.,Poor economy and lack of jobs,Breakdown of families and erosion of family values,Federal government deficit and spending,Insure that ALL people get fair treatment,,,,,,,,,,
4278,,,months ahead,,dont know,vice pres,dont know,dont know,"economy,needs to get better. govt spending has to be controlled",giving to much money to forein countries,"high unemployment,and everything being made in china",unemployment,,,,,,,,,,,
4279,,,as soon as he became a candidate for reelection.,,Leader of the house.,vice president,don't know,Chief Justice,economy a need to  put the people back to work. we pay out to other countries more money than we have causing us to borrow from CHINA.,Health care we are the only large country that does not have universal coverage.,none,Health Care.,,,,,,,,,,,
4280,,,from the first time i could,,speaker of the house,vice president,do not know,do  not know,muslims taking over,loss of cash value,time,muslims,,,,,,,,,,,
4281,,,-7 Refused,,Donot know,Vice President,Do Not Know,-7 Refused,Econmy,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4282,,,Six months.,,Speaker of the House of Representatives,Vice President of the United States,Prime Minister of Great Britan,"Chief Judge, Supreme Court",Jobs and health care,Debt,No.,Jobs.,,,,,,,,,,,
4283,,,year,,senate leader,vice pres,-7 Refused,cief supreme court,economy-bad,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4284,,,I think my mind was made up when i noticed who his opponent was going to be.,,House Speaker,Vice president,British Prime Minister,Chief Justice of Supreme Court,"Economy. In particular getting people jobs.  Also, after electoin there needs to be new collaboration amongst both parties, but it seems more difficult now because atmosphere is very divisive.",Education- make sure are getting adequate education.,Global terrorism- USA has created many enemies especially amongst terrorist groups,Economy,,,,,,,,,,,
4285,,,Over a month.,,House of represenitve leader.,Vice president.,Not sure.?,Chief justice of the supreme court.,"Jobs, Economy, Health care.","Imigration.Terrioists,Racial equality.",Just entitlements in general like social security.,Economy.,,,,,,,,,,,
4286,,,The day after I compiled by research on the canidates,,Unknown,Vice Idiot in Charge (Vice President),Unknown,Unknown,Unemployment - what is the government doing to deal with it,"Budget - Congress and POTUS needs to pull their heads out of their asses, cut what they pay themselves, cut their benefits, stop letting the first family take vacations at the tax payers expense",-7 Refused,Budget,,,,,,,,,,,
4287,,,-1 Inapplicable,,herunintherepubicpraty,viceprendient,dontknow,notsure,unemploymentdebitcrseshousingploble,waringloblewarmin,stelinginkilling,taxinandmoney,,,,,,,,,,,
4288,,,When President Obama was elected in 2008,,Don't know,"Unfortunately, Vice President",Don't know,Don't know,The economy is shut to heck and our president's ideas to improve it have not worked because they are the wrong ideas,"Unemployment is out of control and the persons with the money to invest are scared of what the future will bring to them, so they hold on to their money and no new jobs are created",The unions are asking for impossible terms and hurting the economy in the long run,Economy,should be the local governments business,,,,,,,,,,
4289,,,Four years ago.,,House Speaker,VP,British PM,Chief Justice (Supreme Court),Lame Duck Congress,THe 19 old Whte men that are chair of the groups on the hill.,The Republicans should start thinking about 100 percent  not the 2 percent .,RACISM of a Black President.,,,,,,,,,,,
4290,,,-1 Inapplicable,,majority leader.,vice-president.,don't know.,don't know.,we need to do more to improve the economy.,Foreign aid.,the fact that democrats and republicans spend more time fighting than trying to take care of the country. we need to hang them all for treason and start over.,economy,,,,,,,,,,,
4291,,,several weeks,,Speaker of the House,Vice President,Whitehouse Spokesman,dont know,"A poor economy leads to divisivness, crime, etc.","Low standard of education leads to crime, discrimination, etc.",The judicial and penal systems are lacking.,the economy,,,,,,,,,,,
4292,,,always,,dont know,vp,dont know,dont know,homelessness poverty people need some where to live,being taxed or charged more for things and there are no improvements,insted of taking care of other countries we should take care of our own,not taking care of our country alone,,,,,,,,,,,
4293,,,2009,,Speaker of the House,Vice President,never heard of him,Justice of the supreme court,cut the spending for needless things. start working on jobs and keep things in the USA.,THERE ARE TO MANY ENTITLEMENTS. A LOT OF THEM CAN AND SHOULD BE CUT. PEOPLE SHOULD BE TOLD AND MADE TO UNDERSTAND THAT YOU HAVE TO HELP YOURSELF NOT BY HOLDING OUT YOUR HAND. HOLD OUT YOUR HAND IF YOU MUST FOR A HAND UP NOT OUT.,GOVERNMENT IS POWER AND POWER CORRUPTS.,TO MUCH SPENDING.,,,,,,,,,,,
4294,,,When he announced his bid,,Speaker of the house,Vice president,British prime minister,Chief justice,"Environment, reversing climate change",Better funding for education,Expanding affordable health care,Fixing the environment,,,,,,,,,,,
4295,,,Over four years (with a small provision for unexpected events),,Speaker of the House of Rep's,Vice President of U.S.,Prime Minister of UK,Chief Justice of Supreme Court,Global warming,Responsible economic growth,Education for responsible citizenship,"Global warming.  Put that in its proper perspective, plan around it, and solutions to the other problems will emerge naturally.",,,,,,,"Party - Working Families, Green",,,,
4296,,,right away,,republican,democrate,dont know,dont know,economy is in bad shape,health care,-7 Refused,health care,,,,,,,,,,,
4297,,Ron Paul,weeks,,speaker of the house,Vice President,don't know,U S Chief Justice,federal debt cost of the wars,special interests wall street corruption,-7 Refused,the cost of wars,,,,,,,,,,,
4298,,,1 month before,,Speaker of the House,Vice President,Congress,Congressman,Jobs and Ecomony,Debt,Terror,Debt,,,,,,,,,,,
4299,,,2 years,,no idea,Vice President,no idea,Chief Justice Supreme Court,Economy is doing terrible with lots of cyclical unemployment.,The deficit is beginning to get too large.,Gay rights,The bad economy and high unemployment.,,,,,,,,,,,
4300,,,Since 2008,,House leader,VP,?,?,"ECONOMY, VETERANS AND FOREIGN POLICY","NATIONAL DEBT, EDUCATION AND JOBS",NO,ECONOMY,INCLUDE EVERYONE NOT JUST BLACKS.  wHY DO THEY GET SPECIAL PREVLIGES?,,,,,,,,,,
4301,,,About 6 months before the Nov date..Shouldn chage ship in the middle of the Storm in the ocean...not a good Idea.This in a way has been a good financial years.,,R-Ohio  House speaker   I think,Democrat-Vice President,Prime Minister of the United Kingdom-Coservative..,Chief Justice of the United States.... there is also a comedian by that name..,The Budget is out of control..Soon  we will be United states of China,I am all for helping the needy But we need to get rid of the Drug addicts that are on Food stamp..Blood test should be a must..AND Birthcontrol a must..If I am going to feed you you will NOT have another baby..,-7 Refused,the budget,,,,,,,,,,,
4302,,,1 year,,sec of state,vp,speaker,sen,to much wasting of money in gov,waistfull spending,-7 Refused,waistfull spending,,,,,,,,,,,
4303,,,i don't know,,don't know,vp,don't know,don't know,too much deficit,healthcare,-7 Refused,deficit,,,,,,,,,,,
4304,,,Several months earlier,,"Speaker of the House, Member of Congress",Vice President of the US President of the Senate,Prime Minister of the UK,Chief Justice of the US,Weak Economy,National security,Higher education,Economy,,,,,,,,,,,
4305,,,I knew I would vote for the Republican candidate whoever it might have been over 3 years ago.,,Speaker of the House,Vice President of the United States,Prime Minister of the UK,Chief Justice of the Supreme Court,National debt,Economy,Public school education,National debt,,,,,,,,,,,
4306,,,6 months ago,,majority leader,vice president,don't know,don't know,ecomemy and jobs,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4307,,,I knew from the beginning I would NOT vote for the current president regardless of who the representative for the other party would be.,,Speaker of the House,Vice-President,Prime Minister of England,don't know,"The spiritual/moral decline of our society/culture. Until we rectify THAT, it doesn't matter WHO is President or what is happening w/ the economy or any of the other problems we face.",Fix THAT and get back to a TRUE constitution-based govt. Our TRILLION dollars deficit and massive debt!!!!!!,The ridiculous way that Congress is so out of touch w/ the way ordinary people have to live their lives. NO budget for them?,"The fact we've abandoned the spiritual and moral principles this country was founded upon, which are written into our Declaration of Independence, our Constitution, and the Constitutions of ALL fifty states.",,,,,,,,,,,
4308,,,As soon as President Obama said he would run for re-election!,,Speaker of the House of Representatives,Vice President of the United States,Prime Minister of Great Britain,Chief Justice of the Supreme Court,Fixing the housing market--middle class people who can pay their mortgages are being screwed by the banks. They will not re-finance because of the loan to value ratio. We need to be able to re-finance at lower rates to make up for overpaying for housing!!!!,JOBs--good paying jobs.,Immigration policy--we need to find a way to help the children of illegal immigrants to go to good colleges so they can achieve the American Dream.,Good Jobs,,,,,,,,,,,
4309,,,right away,,dont remember,republican,dont remember,dont know,"too much violance, people dont want to work. to many freebies",jobs,none,jobs available,,,,,,,,,,,
4310,,,After first debate.,,Majority leader of the house,VP,Don't know,Chief of justice,"Economy, Illegal Immigrant, drug",Muslim,Socialism,Job,,,,,,,,,,,
4311,,,2 months,,Leader of the house of representatives,Vice president,unsure,on the supreme court,"unemployment, deficit, competing globally, immigration, entitlements",polarized political parties,no,deficit,,,,,,,,,,,
4312,,,2 years,,Speaker of the house,Vice President of the United States.,Dont know,Supreme Court justice,Jobs. Deficit. Medicare. Social security,None,None,Jobs,,,,,,,,,,,
4313,,,couple of months,,Senate Majority Leader,Vice President,British Prime Minister,Chief Justice US Supreme Court,how to get the economy back on track,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4314,,,Four years ago,,?,Vice president,?,?,"Enviorment, economy, bringing our political parties together to make the tough decisions needed for the future of our country.",lack of industry in our service based society.,-7 Refused,Enviornment,,,,,,,,,,,
4315,,,-7 Refused,,-7 Refused,-7 Refused,-7 Refused,-7 Refused,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
4316,,,-1 Inapplicable,,unknown,unknown,unknown,unknown,need more jobs,need more jobs,none,Need jobs,,,,,,,all,,,,
4317,,,-1 Inapplicable,,?,Vice President,?,?,Over Population,"We have met the enemy, and they are us!",The crimanally insane.,The criminally insane!,,,,,,,,,,,
4318,,,when romney announced as a candidate for president.,,republican speaker of the house of representatives.,vp of the usa.,????.,us supreme court justice.,obama  and  the democrats handling of this country!!!,massive govt overspending with overwhelming increasing debt load and no end in sight!!!,increasing govt dependency class with decreasing producers!!!,avoiding socialism!!!,,,,,,,,,,,
4319,,,-1 Inapplicable,,speaker of the house,VP,english PM,don't know,education or the lack of.,Education,Education,The proble of Dem and Rep not working together on this countries issue.  Putting aside party lines.  Even the Mafia get together and have a true sit down no matter who the boss is.,,,,,,,,,,,
4320,,,1 month,,Speaker of the House,Vice-President,Do not know,do not know,"The abuse and fraud in State and Federal aid programs. Also, Labor Unions and their impossible contracts and the political officials who tend to them.","A lazy, bipartisan Congress who cares more about re-election than the country.",-7 Refused,Congress,Should focus on fair treatment for all.,,,,,,,,,,
4321,,,The day of the election,,Speaker of the House,Vice President,do not know,do not know,Taxes and unemployment,Big Federal government,cover ups,Taxes,,,,,,,,,,,
4322,,,Four years.,,Congressional leader.,Vice President,Prime Minister of Britian,Chief Justice of Supreme Court,Congress needs to compromise and pass some bills.,"Economy, the finacial cliff.",Tax overhaul,Economy,,,,,,,,,,,
4323,,,As soon as Romney was nominated,,Speaker of US House of Representatives,Vice President of USA,"PM, UK",don't know,"Unemployment has fallen below 8.5 percent , but too many people have given up looking and too many are making drastically less than 12 years ago.",increasing concentration of wealth in top 3 percent,implementation of Affordable Health Care Act despite lack of cooperation by states like Texas,Unemployment,,,,,,,,,,,
4324,,,4 years,,none,vp,dont know,custonian,unemployment,health,-7 Refused,health,,,,,,,,,,,
4325,,,Maybe a day or less,,Speaker of the house,vice president,not sure,don't know,Joblessness and the economy,Crime in the City of Chicago.,Unemployment,Unemployment,,,,,,,,,,,
4326,,,-1 Inapplicable,,?,?,?,?,"healthcare , education , the disabled that CANN'T get on disabilty ! taxes on the poor working class",war,money,healthcare,,,,,,,,,,,
4327,,,-1 Inapplicable,,(Republican) speaker of the house,vice pres (Dem),unknown,unknown,environment including the advancement of clean power and protection of land and sea  areas.,foreign policy,health care,environment and protecting it,,,,,,,,,,,
4328,,,The first of the last election!,,Speaker of the house,they say  VICE PRES.,?,?,"jobs  budget,  crooked politicions, crooked laywers, and judges ileagel's,lobbyist's, GOVEREMENT IN GENRAL!",EVERYTHING!!!!!,LOT'S!!!,"SENDING ALL OUR JOB'S OVERSEA'S, AND UNIONS, FOR STARTERS!",,,,,,,,,,,
4329,,,,,,,,,,,,,,,,,,,,,,,
4330,,,4years,,Speaker of the House,VP,PM,Chief justice of the Supreme Court,"Deficit, spending, unemployment",Obamacare and other unaffordable entitlement programs,No budget,Deficit,,,,,,,,,,,
4331,,,As soon as Obama was elected 4 years ago.,,don't know,Vice President,don't know,don't know,Budget deficit,education,involvement overseas,budget deficit,,,,,,,,,,,
4332,,,,,,,,,,,,,,,,,,,,,,,
4333,,,10mins and yes,,speaker of the house,vice presudent,don't know,not sure,economie and lack of job,war,na,economy,,,,,,,,,,,
4334,,,-1 Inapplicable,,i dont know,vp,i dont know,i dont know,not enough jobs,houseing,no,all of the things plus,,,,,,,,,,,
4335,,,1 week,,speaker of the house,vice president,don't know,don't know,the deficit; the government is worse than broke and the consequences of economic fantasy by Americans will be dire,Americans no longer do much of their own work,too much of the spectator culture i.e. all forms of video entertainment,Americans are living in fantasy,,,,,,,,,,,
4336,,,-1 Inapplicable,,don't know,Vice President,Don't know,don't know,Liberalism,can't think of any,foreign policy,liberalism,,,,,,,,,,,
4337,,,-1 Inapplicable,,Speaker of the House,Vice President,Don'tknow,Head of the Surpreme count,Spending of our government. The President and liberals just don't get it. If we run our budjets like them we would all be on food stamps.  You should not spend money that you do not have.  He keeps giving money away like we have money in the bank.  Oh that's right.  He can just print more and devalue the dollars we have.   We need to stop giving away money for non survival needs which is what hundreds of thousands homes are now doing.   Counting pennies.   Not our government.   Those takers in this world are going to be in real trouble because when our money runs out they will really see what poor means.  No self esteem for those just taking and taking and leads to more taking.  so sad,Unemployment.  I see no change but even worse with Obamacare in effect.  Many are just beginning to lose jobs or have to go part time.  Regular Ins rates are going up and doctors are retiring instead of staying in practice because of all the changes. I don't want anyone in government telling my doctor what he can do for me.  They are not doctors.  This country is headed for a recession and I believe that is just where the President wants us to be.   More government control and handouts.,Our milatary spending.   Reagan and Margaret Thatcher have both warned that a good defense is a good offense.  With our President being buddies with all the Muslim and countries leaders who are dictators we are vulneralble.  If we cut back then we will not be able to prove we can defend.,Our economic future.  With borrowing money from China and spending on the increase.  We will all be paying more taxes. Even if the rice are paying more they will pass on that to the rest of us.   More hidden taxes for those of us who are working to pay for those who are takers.  What I have worked hard for they think I should give some to them.  The american people are the most giving people but won't be able to if the government continues to take from those who have to give to those who don't want to work.,Should all be treated fair not matter what our color or race. Qualified should be chosen,,,,,,,,,,
4338,,,-1 Inapplicable,,vp,vice presedent,dont know,dont know,immorility no values,no respect for others,people need to turn back to GOD,IMMORALITY,,,,,,,,,,,
4339,,,I always knew I would vote for Obama.,,?,VP,?,?,disconnect between economic classes,economy/unemployment,education,disconnect between washington and the masses,,,,,,,,,,,
4340,,,-1 Inapplicable,,Speaker of the house,V. Pres,Don't know,Don't know,Debt- too much spending,Healthcare- the negative effects of the health care reform,Economy,Debt,skin color shouldnt be a factor,,,,,,,,,,
4341,,,Was sure from the beginning,,Speaker of the House,Vice president,Don't know,supreme court judge,"morality, I feel our morality in the U.S. has fallen about as low as it can get what with drugs, sex, abortion and foul language.","Poor economy, so little work.",Too many illegals.,immorality,,,,,,,,,,,
4342,,,Once the group of republican candidates in the primaries settled.,,Speaker,VP,English PM,Chief Justice SCOTUS,Poor Education Lack of publicly financed campaigns Lack of single-payer medical system.,Protecting consumers from business not just the government. Sorry state of agriculture.,Basing our economic strength solely on money.,Education,Everyone should strive for equality.,,,,,,,,,,
4343,,,-1 Inapplicable,,Speaker of the House,Vice-President,Prime Minister,Chief Justice,"Economy, corporate greed, congressional inaction on economic problems","Security, terrorism",Immigration and border security,Economy,,,,,,,,,,,
4344,,,at the start of the election season,,senate majority leader,vp,i do not know,senator,job creation,"two party divide, no bipartasinship",illegals take social services,job creation,,,,,,,,,,,
4345,,,Six months.,,speaker of the house,vice president,don't know,don't know,"Economy, equal rights for gays.","Terrorism, infrastructure, poverty.",Influence of big business on political parties.,Economy.,,,,,,,,,,,
4346,,,2008,,SPKR OF THE HOUSE,vice pres.,not sure,not sure,unemployment; low wages; welfare of the middle class.,cooperation of the 2 parties in congress for the will of the people,cooperation,unemployment,,,,,,,,,,,
4347,,,4 months,,speaker of the house,vice president,british prime minister,chief justice of the supreme court,the rate of the growing debt,unemployment,illegal immigration,unemployment,,,,,,,,,,,
4348,,,2 weeks,,Speaker of House Republican Party,Vice President,Don't know,Don't know,Morals dishonesty with elected officals,Economic,no,Economic,,,,,,,,,,,
4349,,,During the republican primary,,Speaker of the house,Vice President,Don't know,Don't know,Fiscal cliff.  Washington needs to work together to prevent this.,The economy of corse.,Enviornment.and clean energy.,Economy,,,,,,,,,,,
4350,,,Two weeks,,Speaker of the house,Vice presdent,Not sure,Not sure,Housing; Jobs; Fuel pricing;,Fuel Priceing,Bring the military home,Jobs,,,,,,,,,,,
4351,,,After the debate,,house sen,vice pred,dont know,senator,need  jobs more,the encomy need to be better,gas prices on the rise,more jobs is needed,,,,,,,,,,,
4352,,,couple of days,,cannot recall,vice president,don't know,chief justice,high unemployment especially for people over 60,immigration--the situation is getting out of hand; permitting them to stay when they came illegally is sending the wrong idea,US should spend less time and money getting involve with other countries' affairs.,"Jobs outsource, immigrant still coming in and taking jobs (not low paying jobs but all levels of jobs.)",,,,,,,,,,,
4353,,,Always,,Don't know,Vice president,Don't know,Don't know,The uncertainty of the economy.,Lack of affortable healthcare.,Political conflict between parties in Washington.,The uncertainty of the economy.,,,,,,,,,,,
4354,,Jill Stein,Just a few days.,,I'm not sure.,Vice President,I don't know.,Cheif Justice of the Supreme Court,the poor economy,education,foreign policy,the economy,,,,,,,,,,,
4355,,,two months,,Speaker of the House,Vice President,don't know,don't know,the systematic brainwash of people and ignorance of God being propagated by the liberal left,the national debt that's seeing an exponential increase under the current president,-7 Refused,"the ignorance of God by the liberal left, including President Obama",Isn't this just a poor excuse for reverse racial profiling?,,,,,,,,,,
4356,,,long time,,-7 Refused,i think denocrate,-7 Refused,-7 Refused,crime poor people,love,there are many we got too take one day at a time and pray for each other,poor people,,,,,,,,,,,
4357,,,the whole time,,speaker of the house of represetatives,vice-president,british pm,chief justice us supreme ct,jobs and the economy,terrorism,deficit,jobs and the economy,,,,,,,,,,,
4358,,,.2 weeks,,speaker of house,VP,don't know,don't know,get the economy moving,national security,no,economy,,,,,,,,,,,
4359,,,As soon as an opponent to Obama was established.,,Don't know,Vice President,Don't know,Chief Justice,Economic instability of the working class,Banking institutions have too much control and should never have been bailed out of the mess they created. They have not been held accountable for their illegal activity.,"Presidential misconduct, Obama has done things that he should be impeached for.",Economic instability,,,,,,,,,,,
4360,,,one year,,Speaker of House,Vice President,do not know,Chief Justice,Economy and foreign aid.,Immigration and border security,Education and Health care,none,,,,,,,,,,,
4361,,,-1 Inapplicable,,speaker of  the House,vice president,british prime minister,chief judge of the supreme court,jobs are the most important.,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4362,,,2 years ago,,majority leader of the U.S. House of Representatives,Vice President,communications,Chief Justice of the U.S. Supreme Court,"Federal Government.  If the senate and representatives can't find a way to work together and with the president like they did under Regan, Clinton, and other presidents this country will eventually fall apart.","We need to find a way to let people living here illegally become citizens.  Also, we need tax reform.","I would like congress to run the country and stay out of people's personal life.  If a woman wants an abortion, that should be between her and her husband (if she has one) the doctor and her conscious. If a person wants to eat or drink more than they should, that should be up to them. The government is becomming more and more of 'Big Brother' every day and I would like to see it stopped.","Learning to accept people for who they are; white, black, brown, yellow, red and every other color in between.  Any person regardless of color can be smart or dumb and capable of doing a job just as good as anyone else. Just give them a chance without seeing color first.",,,,,,,,,,,
4363,,,2 months,,Speaker of the House,Vice President,No Clue,Chief Justice,"Losing values and the American culture and losing sense of moral compass. I believe if people learned to 'do rightly' and 'walk justly', many of the problems facing this country would be reduced.","Economy, Health care spending, abortion, deficit and growing entitlement programs,",-7 Refused,Losing sense of moral compass and values,,,,,,,,,,,
